celeb_id,celeb_name,name,gender,birth_year,agency
채정안_original,채정안_original,채정안_original,,,
청하_original,청하_original,청하_original,,,
최민식_original,최민식_original,최민식_original,,,
카리나_original,카리나_original,카리나_original,,,
카이_original,카이_original,카이_original,,,
키_original,키_original,키_original,,,
탑_original,탑_original,탑_original,,,
태민_original,태민_original,태민_original,,,
태양_original,태양_original,태양_original,,,
태연_original,태연_original,태연_original,,,
태용_original,태용_original,태용_original,,,
티파니_original,티파니_original,티파니_original,,,
하니_original,하니_original,하니_original,,,
하성운_original,하성운_original,하성운_original,,,
하정우_original,하정우_original,하정우_original,,,
하지원_original,하지원_original,하지원_original,,,
하하_original,하하_original,하하_original,,,
한가인_original,한가인_original,한가인_original,,,
한소희_original,한소희_original,한소희_original,,,
한예슬_original,한예슬_original,한예슬_original,,,
한지민_original,한지민_original,한지민_original,,,
한효주_original,한효주_original,한효주_original,,,
해린_original,해린_original,해린_original,,,
현빈_original,현빈_original,현빈_original,,,
혜인_original,혜인_original,혜인_original,,,
화사_original,화사_original,화사_original,,,
황민현_original,황민현_original,황민현_original,,,
황인엽_original,황인엽_original,황인엽_original,,,
황정민_original,황정민_original,황정민_original,,,
황정음_original,황정음_original,황정음_original,,,
